,date,text,topic,topic_proba
4326008,1684604520,"Вдохновляющий закат на пермской набережной 🌅

Фото [id150251601|Love Yawa]",Город,0.7752821
4325959,1684600320,"Пермяков предупреждают о новых схемах мошенничества. На сей раз аферисты решили заработать на теме СВО. Они переодеваются в военную форму и приходят к простым жителям, представляясь участниками спецоперации с целью выманить деньги
 
«Начинают появляться ряженые. Якобы участники СВО, мнимые вагнеровцы и «добровольцы» открыли гастрольный тур по России. В Перми уже несколько случаев проявления данных персонажей», — информируют ветераны СВО «Прикамские витязи» 

Мошенники используют две схемы. По одной из них, за материальной помощью к жителям обращаются притворившиеся ранеными злоумышленники. Они вызывают сочувствие, рассказывая, что, возвращаясь из госпиталя, подверглись ограблению и остались без документов и денег. По второй схеме аферисты представляются сотрудниками ЧВК «Вагнер» или военкомата и говорят, что их родственников срочно забирают в зону СВО для прохождения службы, но избежать этого можно, заплатив определённую сумму. 
 
Жителей просят быть осторожными и информировать их или правоохранительные органы о подобных случаях.",Силовые структуры,0.99785256
4325803,1684578720,"☀Погода дала добро и капибары переехали в летний вольер пермского зоопарка!

Процесс их перемещения для сотрудников стал своего рода головоломкой - загнать капибар в транспортную клетку оказалось не так-то просто. Ведь эти, в основном, медлительные создания, меланхолично жующие травку или неторопливо созерцающие окружающий мир из своих терм, могут быть очень резвыми. Но мы-то тоже быстрые, опытные и находчивые. 

В общем, с капибарами справились. Всегда сложно менять привычную обстановку, но к хорошему быстро привыкаешь, и теперь водосвинки смогут наслаждаться солнышком, купаться в бассейне и переглядываться с соседями-северными оленями. Вольер капибар находится рядом с ними на копытном ряду.

Время работы зоопарка: с 09:00 - 21:00, касса до 20:00",Наука и техника,0.7985363
4325775,1684572720,"Сегодня в Перми пройдёт «Ночь музеев». ПРОГРАММА!

В этом году всероссийская акция «Ночь музеев» пройдёт 20 мая. Она посвящена теме «История и истории». Во время события музеи и галереи предложат своим гостям особую программу. В афише запланированы тематические экскурсии, музыкальные концерты, квесты, мастер-классы, лекции для детской и взрослой аудитории.

⭐ 15:00-23:00 — В Пермской художественное галерее запланирован ряд экскурсий, посвящённых истории создания Спасо-Преображенского собора. Зрители также смогут поучаствовать в творческих мастерских для взрослых и детей. В «Гравёрной мастерской» под руководством художника Данилы Куликова можно познакомиться с техникой линогравюры и напечатать на станке открытку с изображением здания галереи, а на мастер-классе «Собери галерею» создать виды фасадов галереи в технике аппликации.

Адрес: Комсомольский пр-т, 4

⭐ 17:00-22:00 — В музее «Хохловка» будут работать игровая площадка с этнографическими играми для всех, интерактивная площадка с демонстрацией предметов крестьянского быта. Гости смогут примерить детали традиционные костюмы. Экскурсия «Были да былички» по памятникам деревянного зодчества расскажет о нечистой силе, окружающей крестьянский быт.

Адрес: Хохловское с.п., д. Гора

⭐ 18:00-22:00 — В Доме Мешкова можно посетить «Урок в древнерусской школе», мастер-класс по изготовлению открытки с видом Дома Мешкова в технике монотипии, концерт дуэта гитаристов, мастер-класс «Легкие цветы» (изготовление украшений из пластика), мастер-класс «Бумажный экспромт» (изготовление украшений из бумаги), мастер-класс «Как рождается карикатура», концерт кавер-группы Luckys (на улице).

Адрес: ул. Монастырская, 11

⭐ 18:00-22:00 — В Доме-музее Славянова будут работать семь площадок одновременно. Под руководством профессионалов участники «Ночи музеев» смогут опробовать разные виды сварки и познакомиться со способами определения дефектов в сварных соединениях.

Адрес: ул. 1905 года, 37

⭐ 16:00-21:00 — В Детском музейном центре программа будет посвящена произведениям писателя Льва Давыдычева, а также его знаменитому герою Ивану Семёнову. Гостей ждут мюзикл «Иван Семёнов: самое время мечтать!», создание динамических игрушек (тигров, львов или котов), озвучивание мультфильмы по произведениям Льва Давыдычева, творческая встреча с актёрами Пермского театра кукол.

Адрес: ул. Пермская, 78

⭐ 18:00-23:00 — В Музее пермских древностей будут уличные игры, игровая площадка для малышей, многослойный мастер-класс «Укрась мамонта», многослойный мастер-класс «Укрась тираннозавра», хореографический перформанс «Пермский период показывает…», экскурсия-сюрприз «Камни, кости и мечты. Живые истории».

Адрес: ул. Сибирская, 15

⭐ 17:00-22:00 — В музее современного искусства PERMM пройдёт специальная программа к 14-летию музея. Этот день станет финальным днём показа весенних выставок.

Адрес: б. Гагарина, 24

⭐ 12:00-0:00 — В музее «Ретро-Гараж» пройдут бесплатные экскурсии, запуск макета танка Т-26, викторина по ПДД, фотовыставка «Пермский ретровояж». В этот день также ожидается зрелищное событие: в городе пройдёт автопробег ретроавто.

Адрес: ул. Дружбы, 34 (въезд во двор с улицы Крупской)

⭐ 18:00-22:00 — В историческом парке «Россия — моя история» гости смогут смастерить из картона динамическую игрушку в виде известного исторического персонажа, послушать лекцию об основании заводского поселка Егошиха, побывать на костюмированной экскурсии и музыкальной зарисовке «Основание Перми», посмотреть иллюзионное шоу Владимира Данилина.

Адрес: ул. Монастырская, 2 к.1

⭐ 11:00-23:00 — В Центре городской культуры посмотреть выставку «Девяностые детей», почилить, послушать музыку от диджеев (весь день они будут ставить винил). В программе несколько лекций и виниловая вечеринка.

Адрес: ул. Пушкина, 15

⭐ 15:00-21:30 — В пермской арт-резиденции пройдут премьера фестиваля «Победа», творческая встреча фотографа Лейлы Туркиной, мастер-класс по работе с керамикой, мастер-класс «Акварель — душа» от известного художника и дизайнера Геннадия Сорокина.

Адрес: ул. Монастырская, 95а

⭐ 12:00, 14:00, 16:00, 18:00 — В Музее роботов-трансформеров состоится серия бесплатных экскурсий об истории целой индустрии технического искусства, к которой относятся сохраненные модели, представленные в выставочном зале.

Адрес: ул. Чернышевского, 28

⭐ 20 мая 12:00-15:00, 21 мая 12:00-20:00 — В пермском зоопарке состоятся показательные кормления разных животных, мастер-класс по 3D-голографии, спектакль «Карлсон», вечерняя экскурсия.

Адрес: ул. Монастырская, 10

⭐ 20 мая в 17:00, 19:00 и 21:00 — В Пермском музее электротранспорта проведут бесплатные экскурсии, посвящённые истории городского транспорта, а также расскажут об особенностях его работы в наши дни.

Адрес: ул. Уральская, 108а

Фото [id7669795|Александр Чазов]",Культура,0.47629356
4325743,1684569600,"Фильм «Каникулы на Южном Урале» от детского волонтёрского движения «Мировые песни» в рамках Марафона авторской песни России 2022-2023 (традиции событийного туризма) 
 
Детский короткометражный документальный фильм ""Каникулы на Южном Урале"" снят юными волонтёрами движения «Мировые песни» (мир авторской песни) на базе Студии Олега Митяева (Челябинск). 
Фильм рассказывает о природе и знаковых летних мероприятиях событийного туризма на Южном Урале, в том числе об Ильменском фестивале авторской песни, который насчитывает более 45-ти лет истории. Об авторской (бардовской) песне, которая объединила музыку, поэзию и активный туризм. Одним словом, ребята предлагают сверстникам интересное направление для летнего отдыха — культурного и активного! 
 
Бардовское движение - это культурный феномен, объединяющий с 60-х годов XX века музыкальный жанр и активный туризм. «Лучше гор могут быть только горы…» (В. Высоцкий), «За мечтами и за запахом тайги…» (Ю. Кукин), «Дороги трудны, но хуже без дорог…» (Ю. Визбор), «А звезда – рюкзак за плечи – и пошёл…» (А. Якушева), «Пусть в походную юность уносит меня Таганай, Таганай…» (О. Митяев). Авторами-исполнителями написано множество песен о походах, природе, дороге. События этого музыкального жанра всегда сами по себе были и остаются мероприятиями событийного туризма, собирающими поклонников с разных уголков страны. Десятилетиями создавалась традиция творческих встреч участников КСП (клубов самодеятельной песни) при вузах и предприятиях, артистов, зрителей у сцен под открытым небом, у костров, у палаток. 
 
При поддержке Президентского фонда культурных инициатив Фонд Олега Митяева представляет — «Марафон авторской песни России 2022-2023 — традиции событийного туризма». Очная программа (ландшафтные и городские фестивали, детские турслёты, концерты, мастер-классы) и онлайн программа (подкасты, концерты, влоги, детский документальный фильм). Узнавайте больше о мероприятиях событийного туризма и о конкурсах, о песнях и о красивой природе регионов России через песни, об авторах-исполнителях разных поколений: https://marafonbards.ru/ , https://vk.com/marafonbards . 
#МарафонАвторскойПесни #ПрезидентскийФондКультурныхИнициатив #ФондОлегаМитяева #КаникулынаЮжномУрале #МировыеПесни #АвторскаяПесня #БардовскаяПесня #Фестивали #АктивныйТуризм #Краеведение #ЮжныйУрал",Культура,0.9936127
4325723,1684568220,"Раз — два! В эфире — СуБкОтА! Присылайте свои фото котеек в комментарии!

А также, заходите в описание к каждой фото в посте и придумывайте свою оригинальную подпись!

На просторах нашего сообщества всеми пермяками любимые котики! Котейки подбираются из Ваших комментариев и попадают в следующую субкоту!

Не забываем придумывать подпись к своим фото или небольшое описание! С ними смотреть портреты Ваших питомцев интереснее! #Субкота@vikiperm",Культура,0.8851588
4325702,1684564860,"ПГНИУ вошёл в рейтинг лучших вузов страны. Пермский университет попал в предметный рейтинг агентства RAEX в четырёх областях знаний: «Геология», «География», «Педагогика», и впервые агентство включило ПГНИУ в предметный рейтинг по направлению «История и археология», поставив вуз на 16 место. 
 
Пермский университет — в десятке ведущих вузов страны по направлению «География». По направлению «Педагогика» ПГНИУ занимает 13 строчку рейтинга среди вузов страны. По направлению «Геология» университет входит в двадцатку лучших вузов страны. Фото [id5949489|Валера Чебыкин]",Город,0.7803658
4325676,1684561560,"Маленький Берлин — именно такое название получил в народе один из микрорайонов Боровска в Соликамске. А начиналась эта грустная история в Германии самого начала 1920-х, когда несколько амбициозных архитекторов сформировали собственный стиль в архитектуре, главная идея которого состояла в улучшении условий жизни простого люда путём строительства жилых зданий с минимальной себестоимостью, но всё ж с необходимым уровнем комфорта — здание не может быть прекрасным или уродливым, оно должно точно отвечать своему назначению.
 
Основные черты стиля Баухауса (рационализм, простота и ясность планировки, модульность) удивительным образом совпадала с идеями советского конструктивизма, который также отличался и лаконичностью форм, и чёткой архитектурной геометрией, и контрастом глухих и остеклённых стен на фоне тотальной функциональности зданий.
 
Так случилось, что всем этим немецким новаторам не нашлось места в родной Германии, и по приглашению советского правительства в 1931 году они (а было их более 30) переехали в СССР, оставив в итоге заметный след, проектируя соцгородки на Урале — в Перми и Свердловске, в Магнитогорске и Орске, ну и в уже обозначенном мной Соликамске.
 
Говоря о том, что сегодняшняя наша история грустная, я конечно имел в виду переменчивость настроений советской власти. Так, бывшие новаторы и пионеры в считанные годы превратились в изгоев.

И если многие его товарищи уехали из СССР, Филип Тольцинер (или как его у нас окрестили — Филипп Максович) по романтическим или идейным соображениям остался-таки в Советском Союзе, но уже в 1938 году как немецкого шпиона его приговаривают к десяти годам лагерей с местом приписки Усольлаг… 
 
Всё могло бы закончиться совсем уж печально, но однажды помог случай. Обморозив пальцы на ногах и оказавшись таким образом в лазарете, он буквально на клочке бумаги проектирует кресло зуботехнику, открыв лагерному начальству свои способности.
 
Филипа Тольцинера переводят в управу инженером по строительству, а затем и вовсе повышают до должности архитектора-проектировщика в проектной мастерской Соликамского управления лагерей, где одним из его самых значимых по удивительной иронии злодейки-судьбы стал проект… доски соцсоревнования между коллективами Усольлага и Ныроблага.
 
Летом 1947-го Филипа Тольцинера освобождают, а в 1956-м и вовсе реабилитируют, но он не уехал, он остался в Соликамске начальником проектной мастерской главного архитектора, занимаясь восстановлением русских церквей и проектируя такие необычные взору домики… 
 
А в 2011 году, через 70 лет после своего приезда в Россию Филипу Тольцинеру, этому удивительному и неповторимому романтику от архитектуры из Мюнхена посмертно было присвоено звание Почётного гражданина Пермского края.",Город,0.7892142
4325655,1684558800,"Новинка realme C55 появилась в продаже в Пермском крае с умной колонкой и связью в подарок 
 
При покупке смартфона realme C55 абоненты МегаФона Пермского края получают в подарок умную колонку SberBoom mini и услуги связи на 600 рублей. 
 
realme C55 — смартфон с крутыми характеристиками: объёмом встроенной памяти 256 Гб и возможностью динамического расширения ОЗУ с 8 до 16 Гб, 64 Мп AI-камерой, быстрой зарядкой 33 Вт, премиальным дизайном и первой среди Android-смартфонов мини-капсулой, которая позволяет подсчитывать шаги, следить за уровнем заряда и интернет-трафиком. 
 
Жители Пермского края смогут воспользоваться предложением от МегаФона до 31 мая и приобрести смартфон с умной колонкой и связью за 16 990 рублей. Узнать больше об акции можно на сайте https://perm.shop.megafon.ru/actions/5889.",Наука и техника,0.7021373
4325647,1684556460,"Пермяки смогут без пересадок улететь в Танзанию. Авиакомпания Azur Air готовится открыть международные прямые рейсы из Перми в Занзибар, архипелаг в африканской Танзании.

Перевозчик запросил у Росавиации допуск на полёты по направлению дважды в неделю. Отметим, выданный допуск ещё не означает, что авиакомпания всё-таки будет выполнять рейсы.",Экономика,0.5678772
4325636,1684553460,Яблони цветут. Аллея на Старцева.,Город,0.5497659
4325565,1684516860,"Тихий вечер на набережной Перми

Фото [id5408712|Макс Кудряшов]",Город,0.92590195
4325539,1684513860,"Новость для жителей правого берега, которые стоят в пробках на Коммунальном мосту: улицу Спешилова в Перми начали ремонтировать. Планируется обновить более 63 тысяч кв. м дорожного полотна.

Работы выполняются преимущественно ночью, подчеркнули власти, чтобы минимизировать транспортные заторы. Ремонт планируется завершить в течение ближайшего месяца.",Город,0.5464354
4325515,1684510860,"Памятник Татищеву, отцу-основателю Перми, в майских лучах солнца 🌷

Фото [id150251601|Love Yawa]",Город,0.7045894
4325488,1684507860,"В пермских ТЦ появятся пространства для досуга подростков. Первая подобная площадка разместится в ТЦ «Планета». Уже летом для ребят организуют мастер-классы, соревнования, концерты. С осени работа досуговых площадок перейдёт в еженедельный формат.

— Многие дети и подростки проводят своё свободное время в торговых центрах. Некоторые ведут себя спокойно, но бывают и негативные проявления, что вызывает дискомфорт у других посетителей. У нас возникла идея сделать досуг более организованным и создать на базе ТЦ специальные подростковые пространства. Таким образом, будем сближать культуру потребления с культурой проведения досуга, — прокомментировали идею власти города.",Город,0.5506379
4325468,1684505100,"Очки для защиты от вредного синего света [club61323444|в Оптике «Точка зрения»]
 
Сложно представить современного человека, который не пользуется электронными гаджетами: утро каждого начинается с просмотра ленты в смартфоне, а рабочий день сложно представить без использования компьютера. Наверное, даже сейчас вы читаете этот пост с телефона. 
 
Антикомпьютерные очки отсекают вредный синий свет, снижают мерцание экрана, повышают контрастность и чёткость изображения, защищают от пыли, грязи, царапин и пятен, уменьшают блики и дискомфорт при работе за компьютером, подходят для всех типов оправ, включая безободковые. 
 
Весь май в салонах Оптики «Точка зрения» действует скидка до 30% на антикомпьютерные линзы для очков. 
 
Телефон горячей линии: +7 (342) 215-12-07. Звонок бесплатный. 
 
Имеются противопоказания, необходима консультация специалиста.",Наука и техника,0.26731843
4325465,1684503660,"В Пермь привезут главный хоккейный трофей страны — Кубок Гагарина. Он прибудет в субботу, 27 мая, в сопровождении воспитанника пермской школы хоккея, обладателя Кубка Гагарина 2023 Николая Макарова.
 
Сделать фотографию с Кубком, а также получить автограф от Николая Макарова можно будет в этот день с 11:00 до 13:00 в главном фойе УДС «Молот».",Спорт,0.956451
4325451,1684500660,"Как проехать к виадукам и увидеть их своими глазами? Сделать это сейчас довольно просто, но невозможно даже представить, каково это было в начале XX века. Тот, кто хоть раз выезжал за МКАД, знает, что такое месить жижу где-нибудь в деревне под Брянском, но это всё равно и близко не стояло рядом с грунтовыми дорогами Урала! 
 
А теперь отмотаем на сто лет назад. Представили? Непролазная тайга, гнус и мошкара, голодранцы со стальными жилами, кирки да лопаты в руках изящные на чертежах заумных очкариков, но такая почти безнадёжная перспектива реализовать эти фантазии на деле. Зная это, прочувствовав нутром, только тогда можно собираться в дорогу. 
 
Итак, едем из Перми в Большой Сарс — 220 километров и 3 часа лёту — пределов Пермского края не покидаем. Движемся в сторону Екатеринбурга, после Кунгура сворачиваем направо на Орду и Октябрьский. Проезжаем Октябрьский насквозь, двигаясь исключительно по главной. Едем до указателя на Большой Сарс, смело сворачивая на грунтовку, немного тряски, и вот мы в деревне, уже на въезде в которую над крышами домов видим ажурные арки виадука. Проехав ЖД переезд, паркуемся, идём километр по грунтовой дороге вдоль ЖД путей или по ним. Кайфуем! 
 
Налюбовавшись всласть первым, торопимся ко второму. Едем из Большого Сарса в Бартым — 50 км, но всё же больше часа — возвращаемся в сторону Октябрьского. После Сарса (да-да, Сарсов там много) сворачиваем на Щучье Озеро и Чернушку, и через несколько километров, доехав до Енапаево, уходим налево в безызвестность. Если повезёт (а с погодой должно именно повезти), то по довольно мутной грунтовке, сквозь деревни Атнягузи и Верх-Ирень, доезжаем-таки до посёлка Бартым. Бросаем машину у отделения Сбербанка и идём пешком вдоль ЖД путей примерно 1,5 километра. Снова кайфуем! 
 
Из Бартыма в Пермь едем 3,5 часа с улыбкой во всю ширь и чувством выполненного долга. 
 
Решились? Тогда не откладываем в долгий ящик! 
 
Автор путеводителя [id263746274|Maxim Kopylov]",Наука и техника,0.71782196
4325441,1684497900,"Через 6 дней станут известны названия компаний, которые войдут в ТОП-100 Народной премии [club3551694|59.RU] — премии, номинируют на которую и голосуют сами пермяки. Бизнесу нужна ваша помощь! 
 
У вас есть любимый ресторан или бар, медицинский центр, фитнес-клуб или салон красоты? Тогда номинируйте его на премию. Уверены, компании будет приятно, если труд будет оценен. 
 
Какие еще есть номинации: Кофейня и кондитерская года, Образовательный и детский центр, Сделано в Перми, Работодатель года, Супермаркет и Торговый центр года. Разгуляться есть где! 
 
Как выдвинуть любимую компанию на премию? Всё очень просто. Это займет две минуты: 
 
1. Заходите на сайт https://59.ru/award 
 
2. Нажимайте «Предложить номинанта». 
 
3. Зарегистрируйтесь (это можно сделать через соцсеть в два клика). 
 
4. Выберите номинацию и напишите название компании. 
 
5. Готово! Вы великолепны. 
 
После этого отбора мы сформируем шорт-листы по всем номинациям и откроем голосование. Ждем ваших любимчиков",Культура,0.99032253
4325413,1684495260,"Теперь точно: в День города проезд в автобусах и трамваях Перми будет бесплатным. Кроме того, работу общественного транспорта продлят до 02:00. Уже готовы все необходимые документы. 

Валидаторы 12 июня в автобусах и трамваях будут отключены, а бригады контролёров в этот день не будут проводить проверки. 

Возможность бесплатного проезда будет доступна только на маршрутах с регулируемым тарифом. На маршрутах с литерой «Т» стоимость проезда устанавливается перевозчиком.",Город,0.5358777
4325395,1684492260,"Хирург Разумовский на водной глади Камы 🚢

Фото [id285435364|Оксана Платонова]",Культура,0.9445779
4325350,1684485961,"Вся Пермь в яблоневом цвете! Кроме белой пены цветов мы видим и декоративные розовые сорта. На фотографии в полном цвету роскошный сорт Рудольф в Саду Соловьёв.

А где вы замечали в Перми розовые яблони? А может быть и сами сажали такую красоту для нашего города? 

Фото [id135375788|Екатерина Никитина]",Культура,0.31386155
4325326,1684482060,"В выходные в Перми будет по-летнему тепло. Синоптики рассказали о погоде в ближайшие дни. В субботу, 20 мая, днём потеплеет до +20…+24°. Ночью +8°.

С воскресенья столбики термометра стремительно будут расти вверх. Днём ожидается +22…+25°. Ночью всё ещё +8...+10°, но с понедельника температура также начнёт подниматься.

Днём в понедельник уже +26…+27°. Во второй половине следующей недели вероятно установление жаркой погоды с температурой около +30°. Осадков при этом не ожидается.",Город,0.7265361
4325299,1684478760,Вчера на площади Карла Маркса сгорел автомобиль,Силовые структуры,0.84290576
4325276,1684476001,"Счастье в балете! 🩰 
 
Артисты театра “Балет Евгения Панфилова” станцевали на фоне знаменитой надписи “Счастье не за горами” в Перми. 🤩 
Так они поддержали танцевальный флешмоб в честь премьеры сериала “Балет” (+18). Подобные акции прошли в Екатеринбурге, Москве и Санкт-Петербурге. 😍 
 
Сериал сняли “Студия Видеопрокат” Сергея Бондарчука и Алексея Киселёва и “НМГ Студия”.🎬 
 
Советская прима-балерина Рута Майерс, которая 40 лет жила за границей, возвращается в Россию, но здесь ее ждут не овации, а старые обиды и интриги, но это только завязка сюжета. В целом это правдивый фильм об обратной стороне прекрасного, но чрезвычайно тяжелого вида искусства. 🩰 
 
Первая серия “Балета” (+18) стала доступной сегодня на видеосервисе Wink от “Ростелекома”. Остальные восемь будут выходить еженедельно по четвергам. 🎞 
 
А вы как относитесь к этому виду искусства? 🤔 
 
Реклама. Рекламодатель ПАО «Ростелеком» ОГРН: 1027700198767, ИНН: 7707049388 191167, г. Санкт-Петербург, Синопская наб., д. 14, литера А, ERID: LatgBfKsB",Культура,0.7911519
4325249,1684473060,"Зарядные станции для пермских электробусов запустят осенью этого года. В начале лета краевой минтранс проведёт конкурс на поиск подрядчика для установки первых в городе зарядных станций для электробусов. Станций может быть четыре, а новых единиц транспорта — 16. Заработать «зарядки» должны в ноябре этого года.

Ранее сообщалось, что по Перми электробусы начнут курсировать в этом году. Их назначат на маршрут №81 «Станция Пермь II — м/р Ива», который будет проходить по улицам Уинской, Старцева, Героев Хасана, Компросу, далее по Екатерининской и Луначарского.",Город,0.94010365
4325209,1684470060,"Как хочешь, так и езди. Мотовилихинские заводы.",Город,0.5111902
4325186,1684466760,"В Перми 20 мая пройдёт выставка-пристройство бездомных собак. Благотворительную акцию «Пойдём домой!» проведут на кинологической площадке в парке Балатово. Гости события смогут увидеть 60 прекрасных собак, от малышей до великанов, разных возрастов, окрасов и темпераментов из приюта «Доброе сердце». Всем им нужен новый дом. 
 
Волонтёры расскажут о своих подопечных, поделятся знаниями и ответят на вопросы. Забрать собаку можно будет прямо с выставки, совершенно бесплатно, но по договору об ответственном содержании. 

Хозяином сможет стать любой взрослый человек, понимающий, что домашнее животное — это полноценный член семьи, требующий внимания и заботы. Договор о выдаче заключается по паспорту. Все собаки вакцинированы и стерилизованы по возрасту, имеют ветеринарные паспорта с отметками об обработках и вакцинации. 
 
В программе выставки также: 
 
— Работа палатки «Миска добра», куда можно принести подарки для приюта: сухие и влажные корма, крупы, мясную продукцию, ветошь для подстилок, любые антигельминтики, игрушки, ошейники, поводки для собак. 
 
— Кинологи помогут выбрать подходящую вам собаку, дадут рекомендации по воспитанию и адаптации собаки в первые дни дома. 
 
— Грумеры расскажут всё про шерсть выбранной собаки и как правильно за ней ухаживать. 
 
— Маркет с игрушками, лежанками, лакомствами. 
 
— Угощения чаем, печеньями и кексами. 
 
Если вы не планируете в ближайшее время заводить собаку, всё равно приходите, поддержите инициативу и порадуйте четвероногих друзей своим вниманием. 
 
⏰ 20 мая (суббота) с 13:00 до 17:00 
📍 Кинологическая площадка за остановкой ПКиО «Балатово» 
💰 Бесплатно 
☎ 247-37-07, Лариса. 89638784303, Марина.",Город,0.43339556
4325169,1684463460,"Утро на Камской ГЭС

Фото [id285435364|Оксана Платонова]",Город,0.7224881
4325005,1684431060,"Солнце вчера дало жару, а за горизонт заходило вот таким огромным, красным блином. Город Кунгур, Пермский край, май, 2023 год!

Фото [id252428223|Ринат Салимов]",Город,0.3698202
4324956,1684428060,"Любимый город в цвету и оттенках майского заката 🌅🌺

Фото [id150251601|Love Yawa]",Город,0.74291515
4324881,1684425060,"В Перми презентовали арт-объект, посвящённый посИ/Екунчику. Автор известной пермской скульптуры «Пермяк — солёные уши» показал свою новую работу. На этот раз он посвятил скульптуру пермскому деликатесу — поси(е)кунчику.

У неопределённости в написании есть причина. Скульптору всегда хотелось понять, как всё-таки правильно писать: посИкунчик или посЕкунчик. Единого мнения на этот счёт нет. Арт-объект установят на ул. Пермской, 67. Фото «Текст»",Культура,0.41280147
