,date,text,topic,topic_proba
1256214,1684650773,"Постоянное чувство голода и перекусы мы обычно связываем только с отсутствием силы воли и зависимостью от сладкого и булочек. Но голод может быть симптомом серьезных заболеваний, среди которых рак поджелудочной железы и язвы.

Почитайте, что может скрываться за неожиданно возросшим аппетитом или за тягой к сладкому. Об этом нам рассказали врачи-гастроэнтерологи.

https://59.ru/text/health/2023/05/21/72322802/?utm_source=vk&utm_medium=social&utm_campaign=59",Экономика,0.46036392
1256213,1684650668,"ФСБ возбудила уголовное дело за госизмену на двоих жителей Пермского края. Ранее их заочно осудили за поджог пермского штаба «Единой России» и нанесение лозунгов на здание краевой прокуратуры. По данным следствия, в 2022 году они отправились воевать на стороне Украины.

https://59.ru/text/world/2023/05/21/72323669/?utm_source=vk&utm_medium=social&utm_campaign=59",Силовые структуры,0.84213847
1256207,1684645909,"Когда в доме появляется котик, перед хозяевами встает непростой вопрос — а чем нового друга лучше кормить? 

От количества кормов в магазине разбегаются глаза, а взгляд, который усатый бросает на котлетку, вызывает острое желание поделиться с ним собственным завтраком, обедом и ужином. 

В поисках ответов мы обратились к рейтингам от экспертов Роскачества. И обнаружили там совсем не то, что ожидали. Подробности — в материале наших коллег.

https://59.ru/text/animals/2023/05/21/72319472/?utm_source=vk&utm_medium=social&utm_campaign=59",Наука и техника,0.5679751
1256205,1684642880,"Когда в Пермь приезжают гости, многое кажется им странным. Вроде того, что мосты называют дамбами, улицу Тихим Компросом, а здание на Комсомольской площади «Башней смерти». Мы собрали вопросы, которые задавали нам друзья и знакомые из других регионов и подготовили на них ответы. Держите, делитесь с друзьями. И рассказывайте в комментариях, что спрашивают у вас туристы.

https://59.ru/text/gorod/2023/05/21/72278600/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.33751264
1256203,1684642562,"Пригожин заявил о взятии Бахмута, мэр Краснодара поручил проверить все караоке-клубы города из-за песни Верки Сердючки, парня 2005 года рождения на Украине приговорили к десяти годам лишения свободы за помощь российским военным. Главные новости вокруг спецоперации за последние сутки.

https://59.ru/text/world/2023/05/20/72323477/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.40931696
1256171,1684605556,"Ровно 44 года назад Пермь стала городом-миллионником. 20 мая 1979 года число жителей впервые превысило 1 миллион человек. 
 
Газета «Вечерняя Пермь» объявила, что 20 мая родились миллионные жители Перми. Ими признали сразу трех младенцев: Алешу Алалыкина, Васю Маланухина и Любу Пономареву. 
 
Только публикацией в газете не ограничились — 1 июня в ДК Свердлова (сегодня это ДК имени Солдатова) прошла торжественная регистрация рождения миллионных малышей. А семьи Алалыкиных, Маланухиных и Пономаревых вне очереди получили от города по квартире. 
 
Фото: Государственный архив Пермского края и архив города Перми",Город,0.54875374
1256158,1684601280,"Пермь на рубеже XIX-XX веков. 
 
Подписчики, какие места узнали? Пишите в комментах! 
 
Фото: Perm-de-Monocle / Вконтакте",Культура,0.5737452
1256157,1684600440,"Как только приходит время записаться в спортзал, на глаза сразу же попадаются различные продукты с непонятными названиями: протеины, гейнеры, БЦАА и БАДы. 

Но полезны ли они? Можно ли заменить протеиновым коктейлем полноценный прием пищи? Влияют ли эти добавки на гормоны? А состав — натуральный или сплошная химия? 

Эти вопросы мы задали кемеровскому бодибилдеру Станиславу Рыбникову. Его ответы собрали в коротком видео.",Спорт,0.70961374
1256122,1684584986,"Мода бывает жестока. Особенно к нашему кошельку: меняется стремительно, и то, что было в тренде еще пару лет назад, в этом сезоне можно смело прятать на самую дальнюю полку в шкафу. 

Собрали в одном материале сразу 11 (!) антитрендов, которые точно не помогут выглядеть стильно. Сохраняйте этот материал и отправляйтесь на ревизию летних вещей! 

https://59.ru/text/style/2023/05/20/72318410/?utm_source=vk&utm_medium=social&utm_campaign=59",Наука и техника,0.47925472
1256121,1684584887,"В Перми перенесли остановку «Улица Космонавта Леонова». С 20 мая автобусы останавливаются на шоссе Космонавтов после перекрёстка с улицей Космонавта Леонова в направлении центра.

Здесь тормозят автобусы, №29, №62, а теперь еще и маршрут №10.",Город,0.9120208
1256113,1684581896,"Лучше поздно, чем никогда — так точно можно сказать про Юрия Никулина, который попал в большое кино только в 36 лет. Но даром годы не прошли: он стал любимцем публики и настоящей звездой советских фильмов. 

Сегодня вспоминаем его роли в небольшом тесте — всего 10 вопросов для настоящих знатоков отечественного кино! 

https://59.ru/text/entertainment/2023/05/20/72321428/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.4496132
1256103,1684578840,"Задумывались ли вы, куда попадают лошади, которые уже не могут так резво скакать, выполняя свою работу? 

«Списанных» коней к себе в Дивногорск забирает Татьяна. И свой век они доживают в покое, сытыми и ухоженными, хотя попадают в своеобразный пансионат с многочисленными травмами от предыдущих хозяев. 

О жизни «пенсионеров», которые всё еще любят морковку и сахарок, рассказываем в этом видео.",Культура,0.49615055
1256102,1684578134,"Актриса Катерина Шпица специально прилетела в Пермь, чтобы поддержать детей с особенностями развития – участников фестиваля «Полет без границ». По их рисункам создали компьютерную игру.

https://59.ru/text/education/2023/05/20/72322031/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.6887661
1256101,1684577746,"Наш журналист нашел в поселке Уральский панно работы Праски Витти. Это псевдоним чувашского художника Виталия Петрова, работавшего в Перми в 60-х — начале 70-х годов.

Изучаем работу и рассказываем о других — сейчас они почти не сохранились

https://59.ru/text/culture/2023/05/20/72317909/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.9879702
1256095,1684575790,"В Перми определили подрядчика, который будет строить детский реабилитационный центр в Камской долине на улице Маршала Жукова, 39.

Победитель — ООО «Рекон Строй». Цена контракта: 1,01 миллиарда рублей.

Центр разделят на несколько зон по функционалу. Он рассчитан на 80 мест для круглосуточного пребывания и 75 посещений дневного пребывания. Планируется, что в реабилитационном центре будут помогать детям разного возраста.

— На участке планируется создать безбарьерную среду, игровые площадки для детей по возрастам и для занятий игровыми видами спорта, стрельбы из лука, силовых адаптивных тренажеров и прогулочную зону, — рассказывают в министерстве строительства.",Город,0.44143844
1256094,1684574823,"Депобр обратился в прокуратуру из-за сообщества во «ВКонтакте», которое носит имя пермской школы № 12. Судя по всему создатели ее давно забросили, и там появилась информация, которую посчитали экстремистской.

https://59.ru/text/gorod/2023/05/20/72322556/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.6192373
1256090,1684574283,"Чем теплее становится на улице, тем больше живности появляется в вашем огороде. И речь не о милых визитерах из леса, а о насекомых, которые норовят испортить саженцы и лишить урожая. 

В этом материале рассказываем, как избавиться от муравьев, растаскивающих по грядкам тлю и семена сорняков. Спойлер: расскажем про способы без химии и серьезных затрат! 

https://59.ru/text/spring/2023/05/20/72305780/?utm_source=vk&utm_medium=social&utm_campaign=59",Наука и техника,0.9813256
1256079,1684573425,"«Кубинцы, использующие раритеты как личные авто, больше любят советские “жигули”. Для них есть достаточно запчастей, а часть деталей двигателя и подвески относительно легко можно изготовить самостоятельно».  

О Кубе многие знают еще по советскому прошлому. Но если у нас с построением социализма не всё пошло по плану, то там до сих пор талоны и очереди в магазинах. А еще — своя школа живописи, жертвоприношения и раритетные авто.

Фотограф Станислав Белоглазов был в республике пять раз, поэтому точно знает, куда надо и не надо ходить. Своими впечатлениями и рекомендациями он поделился с нашими коллегами — публикуем его рассказ и атмосферные фотографии. 

https://59.ru/text/world/2023/05/20/72319970/?utm_source=vk&utm_medium=social&utm_campaign=59",Наука и техника,0.9882365
1256066,1684570583,"Сочи — это море, горы и природа. А еще — место, в котором вас легко могут обмануть с жильем: не построить дом, продать несуществующие квартиры.

В неприятную историю попали жители двух высоток. Одну из них не поставили на кадастровый учет вовремя, поэтому люди не могут получить прописку в купленных квартирах. А во второй права собственников администрация города решила обжаловать в суде. 

Как вышло, что люди могут лишиться единственного жилья, рассказываем в этом материале.

https://59.ru/text/world/2023/05/20/72321587/?utm_source=vk&utm_medium=social&utm_campaign=59",Город,0.8125499
1256065,1684570396,"Микрорайон Крохалевка известен даже тем, кто никогда не был в Перми: его не раз упоминают в сериале «Реальные пацаны». С микрорайоном Голованово ситуация другая, но каждый пермяк о нем точно слышал.

Разбираемся, как тот и другой получили свои названия.

https://59.ru/text/gorod/2023/05/20/72315026/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.9371294
1256062,1684569601,"Народная премия 59.RU впервые состоится уже этим летом! Одно из самых масштабных событий совпало с 300-летием столицы Прикамья, и это еще один повод сказать спасибо пермским предпринимателям. 
 
В этом обзоре вы можете посмотреть потенциальных номинантов — компании, которые каждый день задают настроение жителям, обеспечивают пермяков рабочими местами и просто делают свою малую родину лучше.
https://59.ru/text/longread/2023/04/28/72259610/",Город,0.8053427
1256047,1684566716,"США и Великобритания ввели новые санкции против России. В списки попали и пермские предприятия.

Министерство торговли США ввело санкции в отношении 71 компании за поддержку России, Армении и Киргизии. В список вошли пермский завод «Машиностроитель», ЗАО «Специальное конструкторское бюро» и «Мотовилихинские заводы».

Также «Мотовилихинские заводы» попали в санкционный список Великобритании. Всего в нем 86 физических и юридических лиц, связанных с энергетическим, металлургическим, оборонно-промышленным, транспортным и финансовым сектором.",Экономика,0.5127954
1256030,1684563029,"Вчера ФСБ провела обыски у активистов и общественников по уголовному делу против двух бывших сотрудников Пермского «Мемориала» (организация ликвидирована в 2022 году, входила в структуру международного «Мемориала», признанного иностранным агентом и тоже ликвидированного). Появилось видео с обысков: оперативники пришли домой к свидетелям.

Обыски прошли у двух членов Совета по правам человека при президенте РФ — Светланы Маковецкой (руководителя центра ГРАНИ) и Татьяны Марголиной (экс-омбудсмена Пермского края), журналиста Татьяны Черепановой и журналистки, экс-члена краевой общественной наблюдательной комиссии по правам осужденных Оксаны Асауленко, правозащитника Игоря Аверкиева, члена краевой Общественной палаты Надежды Агишевой, юристов Сергея Трутнева и Сергея Максимова, члена правления пермского «Мемориала» Веры Седининой.

На кадрах видно, как людям в камуфляже открывает дверь муж Татьяны Марголиной.

— Не переживайте, мы на минуту. Следственные действия. Постановление суда, будет проведен обыск у вас, ознакомьтесь, — говорят ему.

Также у мужчины спросили, известно ли ему, что в квартире хранятся документы, связанные с обществом «Мемориал»*. Он ответил, что не знает.

Во второй части ролика спецназ МВД взламывает дверь в дом, где живет семья Надежды Агишевой. По ходу ролика у ее супруга спрашивают, почему им не открывали.",Силовые структуры,0.9755005
1256027,1684562744,"Ровно 44 года назад Пермь стала городом-миллионником. 20 мая 1979 года родились миллионные жители Перми. Ими признали сразу трех младенцев: Алешу Алалыкина, Васю Маланухина и Любу Пономареву.

1 июня прошла торжественная регистрация рождения миллионных малышей. Их семьи вне очереди получили от города по квартире.

Публикуем архивные фото с праздника.

https://59.ru/text/gorod/2023/05/20/72316940/?utm_source=vk&utm_medium=social&utm_campaign=59",Город,0.4921624
1256026,1684562729,"На холмиках, напоминающих могилы, которые обнаружили на берегу Камы в Нижней Курье, оказались реальные фото умерших людей. В редакцию обратилась мать одного из них. 
 
— На одном из фото изображен мой сын, который умер 17 лет назад. Памятник заказывали в мастерской у Северного кладбища 16 лет назад. Были на кладбище 15 мая, там всё в порядке, — рассказала пермячка Ольга. 
 
Сын Ольги похоронен на Верхне-Курьинском кладбище, а памятник ему изготавливали в мастерской на улице Красноборской. К сожалению, точный адрес женщина не запомнила, контактов у нее не сохранилось. 
 
Здесь фото остальных портретов, найденных в Верхней Курье. Если на них изображены ваши родственники, напишите, пожалуйста, нам в сообщениях сообщества.
 
Также мы будем рады любой информации о мастерской, в которой изготовили эти фото и об обстоятельствах их попадания на берег Камы.",Культура,0.4570156
1256025,1684562600,"Юле 22 года. Она живет в провинции Барселоны: девушка выросла в Испании, куда ее после удочерения привезли приемные родители. Тогда в России она оставила брата Диму и сестру Машу, которых пыталась отыскать несколько лет. 

Помогли социальные сети: брата Юля нашла через «ВКонтакте». А вот куда уехала с новыми родителями сестра, узнать не получается из-за тайны усыновления. 

Удивительную историю, в которой родная кровь оказывается сильнее расстояний, рассказывают наши коллеги.  

https://59.ru/text/family/2023/05/20/72319886/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.706679
1256013,1684559211,"Проявляя заботу о внешности, мы часто забываем, что она — отражение внутреннего состояния организма и органов. И печень как раз в числе индикаторов, поэтому поддерживать ее работоспособность крайне важно. 

Но в нашем холодильнике постоянно есть продукты, которые «убивают» клетки печени или просто мешают им работать, как надо. 

Что исключить из рациона и почему — объясняют врачи. 

https://59.ru/text/food/2023/05/20/72320495/?utm_source=vk&utm_medium=social&utm_campaign=59",Наука и техника,0.45263457
1256011,1684559066,"Публикуем подборку интересных видеороликов прошедшей недели. В нее вошли воры из Тамбова, которые забрали из торгового центра целый банкомат с пятью миллионами рублей. А еще природа настолько очистилась, что рыбаки-дальневосточники вместо рыбы добывают десятки литров японского виски.

https://59.ru/text/world/2023/05/20/72322148/?utm_source=vk&utm_medium=social&utm_campaign=59",Экономика,0.37947953
1256010,1684558801,"Совершить покупку в ТЦ «Семь Пятниц» = выиграть прогулку на яхте. 
 
[https://vk.com/7fridaysperm|Торговый центр «Семь Пятниц»] и [https://vk.com/yahtaclub|парусный клуб «Шкипер»] разыгрывают среди покупателей ТЦ сертификат на прогулку на парусной яхте в заливе для пяти человек продолжительностью 6 часов. Сертификат действует до 31.08.23. 
 
Принять участие очень просто: 
• с 15 мая по 20 июля, до 11:30 2023 г. нужно совершить покупку от 1000 руб.;
• заполнить купон* для розыгрыша; 
• купон необходимо бросить в ящик на 4-м этаже ТЦ.

Итоги подведут 20 июля в прямом эфире.
*Купон для розыгрыша выдается продавцом отдела, в котором приобретается товар/услуга. 
 
Информацию об организаторе акции, сроках, правилах её проведения, количестве призов, сроках, месте и порядке их получения узнавайте [https://vk.com/docs-87336175|по ссылке].
Важно: чек должен быть сохранен. 
 
Попутного ветра и легких покупок!
#торговыйцентр7пятниць #лёгкиепокупки #конкурспермь #розыгрышпермь

ООО «Центр-Про»
https://7-fridays.ru/?erid=Kra23Vj6Z",Город,0.48116878
1256009,1684558670,"Илья — врач-эндоскопист, который может буквально заглянуть вам внутрь благодаря специальным приборам. А потом — корректно рассказать о диагнозе и ответить на самые неудобные вопросы. 

Вот только даже с таким подходом он часто слышит в свой адрес очень неприятные вещи. А еще Илью и его коллег по цеху выводят из себя умники, вруны и спорщики. 

Публикуем топ-5 самых раздражающих для врача вещей. Надеемся, вы здесь себя не узнали. 

https://59.ru/text/job/2023/05/20/72318566/?utm_source=vk&utm_medium=social&utm_campaign=59",Наука и техника,0.8278388
1256007,1684558479,"В Белгороде во двор многоэтажки упал беспилотник, движение грузового транспорта по Крымскому мосту временно не будут запускать из-за провокаций, генпрокуратура признала нежелательной деятельность фонда Greenpeace в России.

Рассказываем об этих и других последних новостях вокруг СВО. 

https://59.ru/text/world/2023/05/19/72318272/?utm_source=vk&utm_medium=social&utm_campaign=59",Силовые структуры,0.82759106
1256005,1684557381,"Проснулись и задаетесь вопросом «куда пойти в выходные»? Загляните в нашу афишу! 

В ближайшие два дня будут фестивали моноспектаклей и пермской кухни, ледовое шоу Ильи Авербуха со звездами фигурного катания. В программе Ночи музеев много интересного, а еще с гастролями в Перми сейчас два театра.

https://59.ru/text/entertainment/2023/05/20/72315638/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.51966804
1256004,1684557140,"Подростков, которые пропали в поселке Кукуштан, нашли. Их искали с 17 мая. 

https://59.ru/text/incidents/2023/05/20/72322268/?utm_source=vk&utm_medium=social&utm_campaign=59",Силовые структуры,0.9158886
1256001,1684555200,"Сезон ремонта в Перми официально открыт, а все потому, что до лета остаются считанные деньки. Если вы сейчас в поиске опытных специалистов и проверенных компаний, то в материале поделились контактами. 
 
Переходите по ссылке, чтобы воплотить задуманное в жизнь
https://59.ru/text/longread/2023/03/27/72160649/",Город,0.78149825
1255928,1684514040,"Когда маленькая Варя заинтересовалась музыкой, ее увлечение поддержал старший брат Егор. С тех пор с нотами и песнями не расстаются оба. Когда они подросли, появилось свое семейное дело — группа UBEL. 

А недавно Варе удалось победить на шоу «Ну-ка вместе!» на телеканале «Россия», где равнодушным к ее вокальным данным не остались даже Любовь Успенская, Николай Басков и Сергей Лазарев. 

О том, как музыка превратилась в неотъемлемую часть жизни, которая чуть не оборвалась в 2021 году, Варвара рассказывает в этом небольшом видеоинтервью.",Культура,0.67726517
1255912,1684511415,"В центре Перми загорелось заброшенное здание. Публикуем фото и видео с места событий.

https://59.ru/text/incidents/2023/05/19/72321461/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.64303267
1255903,1684508935,"22 мая в Перми появится новая остановка городских электричек. Ее откроют у комплекса ПНИПУ.

https://59.ru/text/transport/2023/05/19/72304481/?utm_source=vk&utm_medium=social&utm_campaign=59",Город,0.57310164
1255902,1684508846,"Помните, мы недавно рассказывали о холмиках-могилках на берегу Камы в Нижней Курье? На них оказались портреты реальных людей. Один из них — молодой человек, умерший 17 лет назад. Перейдите по ссылке, чтобы рассмотреть все снимки, вдруг среди них окажется ваш знакомый.

https://59.ru/text/gorod/2023/05/19/72321302/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.47408023
1255901,1684508820,"Уже с понедельника, 22 мая, следующая по кольцевому маршруту электричка будет трижды в день останавливаться возле студгородка ПНИПУ. 

Публикуем новое расписание кольцевой электрички и рассказываем когда поезд будет останавливаться на платформе «Комплекс ППИ» и в обратном направлении.

https://59.ru/text/transport/2023/05/19/72304481/?utm_source=vk&utm_medium=social&utm_campaign=59",Город,0.9385035
1255898,1684508404,"Только в течение двух недель пермяки могут увидеть удивительные костюмы из нашумевшего телепроекта «Маска». С 19 мая по 4 июня «маски», созданные для разных сезонов шоу, будут ждать горожан в ТРЦ «iMall ЭСПЛАНАДА» (0+). Рассмотреть и даже сфотографироваться можно совершенно бесплатно.
https://59.ru/text/entertainment/2023/05/19/72319673/

Реклама
ООО «ПРОСПЕКТ ПЕРМЬ»
https://59.ru/?erid=Kra24BMr1",Культура,0.7472347
1255890,1684507259,"Один из пермских Telegram-каналов раскритиковал пермскую школу №12. Говорят, там не проводят «Разговоры о важном» с участием бойцов СВО и не собирают помощь Донбассу. В общем, «втыкают палки в колеса» патриотическому воспитанию. Мы спросили у администрации Перми должна ли школа организовывать такие мероприятия.

https://59.ru/text/education/2023/05/19/72321230/?utm_source=vk&utm_medium=social&utm_campaign=59",Спорт,0.86492676
1255875,1684504869,"❗В Белгороде во двор многоэтажки упал беспилотник. 
По словам главы региона Вячеслава Гладкова, он ударился в окно квартиры на седьмом этаже. 
 
— Пострадавших и разрушений нет. На месте работают взрывотехники и оперативная группа, — написал Гладков.",Силовые структуры,0.95018744
1255874,1684504803,"Теплый воздух обдувает волосы, от воды веет свежестью, а все негативные мысли улетучиваются моментально. 
 
Организовать себе такой отдых можно на теплоходе или прогулочных трамвайчиках по Каме. «Кама-Трэвел» делает тематические рейсы, дискотеки, вечера с живой музыкой, развлекательные программы для детей и даже экскурсы в историю Перми. 
 
В материале рассказываем, какие бывают рейсы и сколько они стоят.
https://59.ru/text/gorod/2023/05/19/72318971/

Реклама
ООО «Кама-Трэвел»
https://59.ru/?erid=Kra23h9Po",Город,0.64335763
1255871,1684504463,"Если часто ездите около ДКЖ, у нас для вас не самая веселая новость: в этом районе на все лето перекроют движение на пересечении двух улиц.

https://59.ru/text/transport/2023/05/19/72320405/?utm_source=vk&utm_medium=social&utm_campaign=59",Город,0.6870366
1255863,1684502610,"Вашему вниманию — Жасмин Ларсен и ее огненно-рыжие волосы, длина которых совсем немного не доходит до 150 сантиметров. Последний раз современная Рапунцель стригла волосы в 2017 году!

Девушка признается, что привлекает своей внешностью большое количество богатых мужчин. Среди очарованных красотой — шейхи, миллиардеры и даже влиятельные политики.

Наши коллеги показывают, как выглядит реальная Рапунцель, и рассказывают о жизни и необычных предложениях, которые поступали Жасмин.

https://59.ru/text/style/2023/05/19/72316076/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.9227632
1255847,1684501303,"Евгений Ройзман* давно стал известен за пределами Екатеринбурга. В столице Урала он успел побыть мэром, открыть музей Невьянской иконы и создать традицию утренних пробежек, после которых обязательно звал желающих пить чай с пирогами. 
 
В марте к Евгению Вадимовичу* пришли полицейские из-за поста в соцсети — там обнаружили дискредитацию ВС РФ. Его уже штрафовали за это, и на этот раз предъявили уголовное обвинение. 
 
В суде за Ройзмана* вступились Алла Пугачева, вдова первого президента России Наина Ельцина, драматург Николай Коляда и многие другие известные деятели — они передали адвокату свои характеристики политика. 
 
Какое решение вынес екатеринбургский суд — смотрите в этом видео. 

*Признан иноагентом в РФ.",Культура,0.9794333
1255842,1684500327,"Президент Федерации футбола Пермского края Дмитрий Терехов подал в отставку 
 
Об этом изданию Properm рассказали сразу несколько источников, в том числе член исполкома федерации футбола Виктор Барсуков. Подтвердить информацию у самого Терехова не удалось — он не ответил на телефонный звонок. 
 
По информации издания, причиной увольнения стало уголовное дело, которое в 2021 году возбудили из-за предоставления поддельных результатов ПЦР-тестов на коронавирус. Они предназначались для спортсменов краевой федерации и нужны были для проведения матча в манеже «Пермь Великая». Был заключен фиктивный договор на тестирование между этой федерацией и другой организацией.",Спорт,0.84238136
1255832,1684498931,"Сдавая анализы, мы ориентируемся на нормальные показатели в бланке: если полученные цифры вписываются, можно не переживать.

Но что делать, если показатели выше или ниже? Стоит ли паниковать? Как вообще правильно смотреть на результаты анализов?

Все эти вопросы мы задали врачу-терапевту, публикуем его ответы.

https://59.ru/text/health/2023/05/19/72316652/?utm_source=vk&utm_medium=social&utm_campaign=59",Наука и техника,0.5265056
1255821,1684497199,"Пермские студенты возмущены увольнением руководителя IT-института при ПГНИУ

Как пишут в паблике PSU Community, вместо уважаемого преподавателя, который «поставил на ноги IT-институт», назначили экс-заведующего научно-исследовательской лабораторией в Москве, даже не имеющего ученой степени.

Студенты боятся, что кадровые изменения приведут к ухудшению дел в IT-институте. Мы постарались разобраться в ситуации.

https://59.ru/text/education/2023/05/19/72319595/?utm_source=vk&utm_medium=social&utm_campaign=59",Культура,0.677669
1255816,1684496640,"Продуктовые супермаркеты — это магазины, которые нужны чаще всего. Мы заходим в них после работы, чтобы купить что-нибудь к ужину, наведываемся в выходные, чтобы купить продуктов на неделю, и забегаем за чем-нибудь срочно понадобившимся в любое время.

А какими должен быть хороший супермаркет? 

Сегодня мы спросили об этом пермяков, и они рассказали, что их бесит в супермаркетах и какими они хотят их видеть.

https://59.ru/text/gorod/2023/05/19/72316154/?utm_source=vk&utm_medium=social&utm_campaign=59",Экономика,0.8194944
1255815,1684496152,"❗️Срок ремонта площади с платной парковкой перед вокзалом Пермь II продлили 
 
К 20 мая планировали закончить, но рабочие не успевают. Работы там будут выполнять до конца месяца. 
 
Бесплатная парковка по прежнему остается доступной без каких-либо ограничений. 
 
Пермяки, планируйте прибытие на вокзал заблаговременно. И поделитесь информацией с теми, кому она будет полезна!",Город,0.9970125
1255803,1684495365,"Бывшему мэру Екатеринбурга Евгению Ройзману* сегодня вынесли приговор за дискредитацию Вооруженных сил РФ: суд назначил политику штраф в размере 280 тысяч рублей, но с учетом задержания итоговую сумму снизили до 260 тысяч. Это ровно столько, сколько запросила прокуратура.

Это первое уголовное дело против Евгения Ройзмана*, которое дошло до приговора (судимость, которую он получил в 1980 году, снята).

Вспоминаем, как оно развивалось  — от обыска до вердикта.

* Евгений Ройзман признан иноагентом в РФ.

https://59.ru/text/politics/2023/05/19/72319226/?utm_source=vk&utm_medium=social&utm_campaign=59",Силовые структуры,0.5176732
